quadweek,year_week,basket,product BS,CountProduct_W,StockQty_W,Stock$_W,AvgAgeStock,PurchaseQty,Purchase$,AvgListPrice,SoldQty,SoldQty_In,SoldQty_Out,SoldQty_OutByCondition,SoldQty_OutByMinPrice,SoldQty_none,SoldToStock_W,SoldToStock_W_In,SoldToStock_W_Out,SoldToStock_W_OutByCondition,SoldToStock_W_OutByMinPrice,SoldToStock_W_none,AvgSalesPeriod,AvgSalesPeriod_In,AvgSalesPeriod_Out,AvgSalesPeriod_OutByCondition,AvgSalesPeriod_OutByMinPrice,AvgSalesPeriod_none,Revenue,Revenue_In,Revenue_Out,Revenue_OutByCondition,Revenue_OutByMinPrice,Revenue_none,AvgSalePrice,AvgSalePrice_In,AvgSalePrice_Out,AvgSalePrice_OutByCondition,AvgSalePrice_OutByMinPrice,AvgSalePrice_none,Recap,Recap_In,Recap_Out,Recap_OutByCondition,Recap_OutByMinPrice,Recap_none,RecapPerStockQty_W,RecapPerStockQty_W_In,RecapPerStockQty_W_Out,RecapPerStockQty_W_OutByCondition,RecapPerStockQty_W_OutByMinPrice,RecapPerStockQty_W_none,RecapPerStock$_W,RecapPerStock$_W_In,RecapPerStock$_W_Out,RecapPerStock$_W_OutByCondition,RecapPerStock$_W_OutByMinPrice,RecapPerStock$_W_none,Margin,Margin_In,Margin_Out,Margin_OutByCondition,Margin_OutByMinPrice,Margin_none,MarginUnit,MarginUnit_In,MarginUnit_Out,MarginUnit_OutByCondition,MarginUnit_OutByMinPrice,MarginUnit_none,RecapUnit,RecapUnit_In,RecapUnit_Out,RecapUnit_OutByCondition,RecapUnit_OutByMinPrice,RecapUnit_none,Avg_Basket_IRR,Avg_Basket_Velocity,Avg_Basket_Margin,Avg_IRR,Avg_Margin,Avg_SaleDuration,FDR
16,2026-12,1125,BasketDiscountOutOfMarketByCondition,127,127,3310.8,353.8740157,1,33.1,52.11968504,4,,,4,,,3.15%,,,0.031496063,,,547.75,,,547.75,,,164.05,,,164.05,,,41.0125,,,41.0125,,,52.45,,,52.45,,,0.412992126,,,0.412992126,,,0.016,,,0.015842093,,,-33.29,,,-33.29,,,-8.3225,,,-8.3225,,,13.1125,,,13.1125,,,1,1,2,-0.636092165,-0.923228346,663.8556693,99.47%
16,2026-12,1125,BasketDiscountOutOfMarketByMinPrice,160,160.75,2400.743,585.4945568,1,25.24,37.30048212,4,,,,4,,2.49%,,,,0.024883359,,165,,,,165,,156.57,,,,156.57,,39.1425,,,,39.1425,,69.65,,,,69.65,,0.433281493,,,,0.433281493,,0.029,,,,0.029011852,,-10.99,,,,-10.99,,-2.7475,,,,-2.7475,,17.4125,,,,17.4125,,1,1,2,-0.810539047,-1.27970451,1061.371446,94.62%
16,2026-12,1125,none,107,107,2829,270.9065421,3,86.24,54.47084112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,-0.636997364,-0.402803738,745.3785047,97.50%
16,2026-12,1131,none,1,100,2395.82,251.61,,,66.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,-0.81635,8.28,1862.33,92.00%
16,2026-12,1133,BasketDiscountInMarket,11,234.5,5412.555,358.2128998,1,30.19,60.35592751,4,4,,,,,1.71%,1.71%,,,,,376.25,376.25,,,,,235.44,235.44,,,,,58.86,58.86,,,,,135.8,135.8,,,,,0.579104478,0.579104478,,,,,0.025,0.025089814,,,,,39.48,39.48,,,,,9.87,9.87,,,,,33.95,33.95,,,,,1,1,3,-0.810835092,4.911151386,1847.952836,86.23%
16,2026-12,1134,BasketDiscountInMarket,63,226,5256.12,344.7677257,5,131.15,60.72517699,4,4,,,,,1.77%,1.77%,,,,,127,127,,,,,208.32,208.32,,,,,52.08,52.08,,,,,94.56,94.56,,,,,0.41840708,0.41840708,,,,,0.018,0.017990457,,,,,-5.38,-5.38,,,,,-1.345,-1.345,,,,,23.64,23.64,,,,,1,1,3,-0.708983819,4.653716814,1434.020487,93.21%
16,2026-12,1134,BasketDiscountOutOfMarket,68,164.5,3895.265,336.4719179,,,63.36735562,10,,10,,,,6.08%,,0.060790274,,,,268.9,,268.9,,,,612.16,,612.16,,,,61.216,,61.216,,,,289.48,,289.48,,,,1.759756839,,1.759756839,,,,0.074,,0.074315868,,,,31.08,,31.08,,,,3.108,,3.108,,,,28.948,,28.948,,,,1,1,3,-0.735746462,5.035835866,1572.123739,99.12%
16,2026-12,1134,BasketDiscountOutOfMarketByCondition,34,89,2350.448,304.9846404,5,156.01,68.46393258,10,,,10,,,11.24%,,,0.112359551,,,97.5,,,97.5,,,643.94,,,643.94,,,64.394,,,64.394,,,379.66,,,379.66,,,4.265842697,,,4.265842697,,,0.162,,,0.161526654,,,126.06,,,126.06,,,12.606,,,12.606,,,37.966,,,37.966,,,1,1,3,-0.707860404,6.011685393,1537.774607,98.13%
16,2026-12,1134,none,13,36,955.59,185.2223333,,,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,-0.706673833,5.166666667,1424.693056,100.00%
16,2026-12,1135,BasketDiscountInMarket,49,49,999.22,701.877551,,,63.59795918,3,3,,,,,6.12%,6.12%,,,,,302,302,,,,,188.92,188.92,,,,,62.97333333,62.97333333,,,,,82.04,82.04,,,,,1.674285714,1.674285714,,,,,0.082,0.082104041,,,,,7.74,7.74,,,,,2.58,2.58,,,,,27.34666667,27.34666667,,,,,1,1,3,-0.605500857,4.404285714,1178.387755,95.31%
16,2026-12,1135,BasketDiscountOutOfMarket,90,90.5,2125.005,538.4323204,3,97.28,69.76353591,2,,2,,,,2.21%,,0.022099448,,,,252.5,,252.5,,,,104.8,,104.8,,,,52.4,,52.4,,,,52.91,,52.91,,,,0.584640884,,0.584640884,,,,0.025,,0.024898765,,,,4.98,,4.98,,,,2.49,,2.49,,,,26.455,,26.455,,,,1,1,3,-0.571779315,4.927071823,1127.121547,100.00%
16,2026-12,1135,BasketDiscountOutOfMarketByCondition,56,56,1407.56,722.25,1,24.57,70.64303571,1,,,1,,,1.79%,,,0.017857143,,,1297,,,1297,,,66,,,66,,,66,,,66,,,38.15,,,38.15,,,0.68125,,,0.68125,,,0.027,,,0.02710364,,,14.99,,,14.99,,,14.99,,,14.99,,,38.15,,,38.15,,,1,1,3,-0.592387661,4.636964286,1234.517857,100.00%
16,2026-12,1135,BasketDiscountOutOfMarketByMinPrice,1,1,13.97,1306.5,,,54.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,-0.730028,3.78,1550,100.00%
16,2026-12,1135,none,45,46,1138.64,386.9782609,,,68.13108696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,-0.576215152,4.153043478,1019.304348,94.57%
16,2026-12,1142,none,2,117.5,2698.205,265.3670085,6,142.42,68.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,-0.635423906,12.64374468,1376.301106,78.22%
16,2026-12,1143,BasketDiscountInMarket,9,213.5,4994.975,350.9078923,1,29.47,74.26981265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,-0.69865497,13.99440281,1628.925035,88.09%
16,2026-12,1143,BasketDiscountOutOfMarket,2,26,601.44,602.5387692,,,80.18038462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,-0.808530077,20.98115385,2481.826538,100.00%
16,2026-12,1143,BasketDiscountOutOfMarketByCondition,4,54,1391.74,79.29633333,,,79.86444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,-0.706184944,18.41759259,1744.99963,100.00%
16,2026-12,1144,BasketDiscountInMarket,38,143.75,3415.493,387.4493913,2,46.47,78.55443478,6,6,,,,,4.17%,4.17%,,,,,406.5,406.5,,,,,347.26,347.26,,,,,57.87666667,57.87666667,,,,,196.14,196.14,,,,,1.364452174,1.364452174,,,,,0.057,0.057426556,,,,,43.4,43.4,,,,,7.233333333,7.233333333,,,,,32.69,32.69,,,,,1,1,4,-0.684483776,14.53424348,1797.913983,98.40%
